Tipo_Evento; Evento; Año; Ciudad; Producto_Asociado
Congreso;A Multi-Class Kernel Alignment Method For Image Collection Summarization;14TH IBEROAMERICAN CONGRESS ON PATTERN RECOGNITION CIARP 2009;2009;-;ON PATTERN RECOGNITION CIARP 2009 
                                        Tipo de evento: Congreso 
                                        Ámbito:                  
                                        Realizado el:2009-01-01 00:00:00.0, 
                                              
                                            en POPAYÁN;Sin Información;-
Congreso;Kernel-Based Visualization of Large Collections of Medical Images Involving Domain Knowledge;X CONGRESO INTERNACIONAL EN INTERACCION PERSONA ORDENADOR;,;-;INTERACCION PERSONA ORDENADOR 
                                        Tipo de evento: Congreso 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en POPAYÁN;Sin Información;-
Otro;A Latent Semantic Approach;CONFERENCE ON MULTILINGUAL AND MULTIMODAL INFORMATION ACCESS EVALUATION;2010;-;ND MULTIMODAL INFORMATION ACCESS EVALUATION 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:2010-01-01 00:00:00.0, 
                                              
                                            en Padua;Sin Información;-
Otro;Histology Image Indexing Using a Non-negative Sematic Embedding;14TH INTERNATIONAL CONFERENCE ON MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION;2011;-;E ON MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:2011-09-01 00:00:00.0, 
                                              
                                            en Toronto;Sin Información;-
Otro;Automatic Annotation of Histopathological Images Using a Latent Topic Model Based on Non-Negative Matrix Factorization;14TH INTERNATIONAL CONFERENCE ON MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION;2011;-;E ON MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:2011-09-01 00:00:00.0, 
                                              
                                            en Toronto;Sin Información;-
Otro;Kernel-Based Strategy for Exploratory Image Collections Search;INTERNATIONAL WORKSHOP ON CONTEN BASED MULTIMEDIA INDEXING CBMI IEEE 2010;2010;-;NTEN BASED MULTIMEDIA INDEXING CBMI IEEE 2010 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:2010-01-01 00:00:00.0, 
                                              
                                            en Grenoble;Sin Información;-
Otro;Multimodal Visualization Based on Non-Negative Matrix Factorization;14TH EUROPEAN CONFERENCE ON RESEARCH AND ADVANCED TECHNOLOGY FOR DIGITAL LIBRARIES ECDL 2010;2010;-;RESEARCH AND ADVANCED TECHNOLOGY FOR DIGITAL LIBRARIES ECDL 2010 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:2010-01-01 00:00:00.0, 
                                              
                                            en POPAYÁN;Sin Información;-
Otro;NMF-Based Multimodal Image Indexing for Querying by Visual Example;ACM INTERNATIONAL CONFERENCE ON IMAGE AND VIDEO RETRIEVA;2010;-;ON IMAGE AND VIDEO RETRIEVA 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:2010-01-01 00:00:00.0, 
                                              
                                            en POPAYÁN;Sin Información;-
Otro;Multimodal Image Annotation Using Non-Negative Matrix Factorization;2010 IEEE / WIC / ACM INTERNATIONAL CONFERENCES;2010;-;ATIONAL CONFERENCES 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:2010-08-01 00:00:00.0, 
                                              
                                            en Toronto;Sin Información;-
Otro;Automatic Annotation of Histopathological Images Using a Latent Topic Model Based On Non-negative Matrix Factorization;MICCAI 2011 HISTOPATHOLOGY IMAGE ANALYSIS WORKSHOP;,;-;MAGE ANALYSIS WORKSHOP 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en ARMENIA;Sin Información;-
Otro;Multimodal Fusion for Image Retrieval Using Matrix Factorization;2ND ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA RETRIEVAL ICMR 12;,;-;RENCE ON MULTIMEDIA RETRIEVAL ICMR 12 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en Guadalajara;Sin Información;-
Congreso;A Framework for High Performance Image Analysis Pipelines;7TH COLOMBIAN COMPUTING CONGRESS 7CCC 2012;,;-;GRESS 7CCC 2012 
                                        Tipo de evento: Congreso 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en Guadalajara;Sin Información;-
Otro;Bioingenium at ImageCLEF 2012: Text and Visual Indexing for Medical Images;CLEF ONLINE WORKING NOTES/LABS/WORKSHOP 2012;,;-;ABS/WORKSHOP 2012 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en Guadalajara;Sin Información;-
Otro;On the Robustness of Kernel-Based Clustering;LECTURE NOTES IN COMPUTER SCIENCE CIARP2012;,;-;CIENCE CIARP2012 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en Guadalajara;Sin Información;-
Otro;Online Matrix Factorization for Multimodal Image Retrieval;LECTURE NOTES IN COMPUTER SCIENCE CIARP2012;,;-;CIENCE CIARP2012 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en Guadalajara;Sin Información;-
Otro;Bag of Features for Automatic Classification of Alzheimer's Disease in Magnetic Resonance Images;LECTURE NOTES IN COMPUTER SCIENCE CIARP2012;,;-;CIENCE CIARP2012 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en Guadalajara;Sin Información;-
Otro;A Visual Latent Semantic Approach for Automatic Analysis and Interpretation of Anaplastic Medulloblastoma Virtual Slides;MICCAI 2012 THE 15TH INTERNATIONAL CONFERENCE ON MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION;,;-;ATIONAL CONFERENCE ON MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en Guadalajara;Sin Información;-
Otro;BIGS: A Framework for Large-Scale Image Processing and Analysis Over Distributed and Heterogeneous Computing Resources (presentation);IEEE INTERNATIONAL CONFERENCE ON ESCIENCE;,;-;CE ON ESCIENCE 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en Guadalajara;Sin Información;-
Otro;Content-based Access to Medical Image Collections;MEDICAL INFORMATION REFERENCE IGI GLOBAL 2010;,;-;CE IGI GLOBAL 2010 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en ARMENIA;Sin Información;-
Otro;Multimodal Image Collection Visualization Using Non-negative Matrix Factorization;LECTURE NOTES IN COMPUTER SCIENCE ECDL2010;,;-;CIENCE ECDL2010 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en ARMENIA;Sin Información;-
Otro;Multimodal Image Collection Visualization Using Non-negative Matrix Factorization;LECTURE NOTES IN COMPUTER SCIENCE ECDL2010;,;-;CIENCE ECDL2010 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en ARMENIA;Sin Información;-
Otro;Text Comparison Using Soft Cardinality;LECTURE NOTES IN COMPUTER SCIENCE SPIRE2009;,;-;CIENCE SPIRE2009 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en ARMENIA;Sin Información;-
Otro;A Framework for High Performance Image Analysis Pipelines over Cloud Resources;THE LATIN AMERICAN CONFERENCE ON HIGH PERFORMANCE COMPUTING CLCAR 2012;,;-;CE ON HIGH PERFORMANCE COMPUTING CLCAR 2012 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en Guadalajara;Sin Información;-
Otro;Quantum Latent Semantic Analysis;LECTURE NOTES IN COMPUTER SCIENCE ICTIR2011;,;-;CIENCE ICTIR2011 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en ARMENIA;Sin Información;-
Otro;Quantum Latent Semantic Analysis;LECTURE NOTES IN COMPUTER SCIENCE ICTIR2011;,;-;CIENCE ICTIR2011 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en ARMENIA;Sin Información;-
Otro;Biomedical Image Analysis and Machine Learning Technologies: Applications and Techniques;MEDICAL INFORMATION REFERENCE IGI GLOBAL;,;-;CE IGI GLOBAL 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en ARMENIA;Sin Información;-
Otro;From Image Analysis to Image Understanding Using Machine Learning;MEDICAL INFORMATION REFERENCE IGI GLOBAL;,;-;CE IGI GLOBAL 
                                        Tipo de evento: Otro 
                                        Ámbito:                  
                                        Realizado el:, 
                                              
                                            en ARMENIA;Sin Información;-
Congreso;Redes Inmunológicas Artificiales: Una Introducción;IN PROCEEDINGS OF THE INTERNATIONAL CONGRESS ON COMPUTATIONAL INTELLIGENCE CIIC;2005;-;NATIONAL CONGRESS ON COMPUTATIONAL INTELLIGENCE CIIC 
                                        Tipo de evento: Congreso 
                                        Ámbito:                  
                                        Realizado el:2005-01-01 00:00:00.0, 
                                              
                                            en MONTERÍA;Sin Información;-
